timestamp,position,frequency_hz,regime,geometry,state,keyword,i_ching_hex,i_ching_name,coherence_pct,focus_pct,meditation_pct,delta_pct,theta_pct,alpha_pct,beta_pct,gamma_pct,heart_rate_bpm,fnirs_LI_hbo,fnirs_LI_hbr,fnirs_LI_sqi,fnirs_RI_hbo,fnirs_RI_hbr,fnirs_RI_sqi,fnirs_LO_hbo,fnirs_LO_hbr,fnirs_LO_sqi,fnirs_RO_hbo,fnirs_RO_hbr,fnirs_RO_sqi,fnirs_index,fnirs_settledness,dwell_sec,advanced_by
2026-07-02T16:02:43.823Z,17,2907,HEART,"Lissajous","CREATIVE FLOW",Creation,49,"Revolution",34,65,53,55,21,7,10,6,96,,,,,,,,,,,,,,,6,
2026-07-02T16:03:13.822Z,16,2664,HEART,"Merkaba","TRANSMUTATION",Beyond,50,"The Caldron",32,98,14,5,6,8,50,31,90,0.1559,-0.0879,0.981,0.1237,-0.0867,0.995,0.0180,-0.0478,0.711,0.0189,-0.0384,0.929,0.087997,1,36,
2026-07-02T16:03:43.818Z,17,2907,HEART,"Lissajous","CREATIVE FLOW",Creation,49,"Revolution",35,98,13,7,6,6,46,35,78,-0.0353,0.0209,0.977,-0.0272,0.0191,0.953,-0.0052,0.0094,0.986,-0.0062,0.0082,0.958,0.008802,0,66,
2026-07-02T16:04:13.817Z,17,2907,HEART,"Lissajous","CREATIVE FLOW",Creation,49,"Revolution",32,98,14,10,6,7,38,38,83,0.1205,-0.0819,0.951,0.0984,-0.0734,0.975,0.0188,-0.0407,0.986,0.0152,-0.0340,0.504,0.030464,0.47,96,
2026-07-02T16:04:43.819Z,17,2907,HEART,"Lissajous","CREATIVE FLOW",Creation,49,"Revolution",32,98,23,9,11,10,36,33,86,-0.0376,0.0069,0.971,-0.0316,0.0273,0.984,-0.0033,-0.0046,0.818,-0.0047,0.0233,0.82,0.024634,0.284,2,
2026-07-02T16:05:13.818Z,17,2907,HEART,"Lissajous","CREATIVE FLOW",Creation,49,"Revolution",32,74,48,20,29,11,24,15,91,0.4448,-0.2709,0.996,0.3598,-0.2651,1,0.0573,-0.1020,0.993,0.0602,-0.0763,0.997,0.162382,1,22,
2026-07-02T16:05:43.817Z,15,2421,HEART,"Rose Curve","EMOTIONAL RELEASE",Release,23,"Splitting Apart",27,83,23,21,11,7,37,23,85,0.1748,-0.0950,0.987,0.1612,-0.1212,0.998,0.0337,-0.0556,0.94,0.0385,-0.0920,0.947,0.08839,1,52,
2026-07-02T16:06:13.818Z,16,2664,HEART,"Merkaba","TRANSMUTATION",Beyond,50,"The Caldron",30,98,16,9,8,6,51,26,81,-0.1367,0.0817,0.986,-0.0991,0.0761,0.994,-0.0177,0.0376,0.996,-0.0138,0.0353,0.997,0.069967,1,82,
2026-07-02T16:06:43.824Z,17,2907,HEART,"Lissajous","CREATIVE FLOW",Creation,49,"Revolution",34,62,29,30,15,6,30,19,86,0.0126,-0.0152,0.973,-0.0014,0.0075,0.984,0.0014,-0.0117,0.809,-0.0001,0.0228,0.607,0.021367,0.18,12,
2026-07-02T16:07:13.823Z,17,2907,HEART,"Lissajous","CREATIVE FLOW",Creation,49,"Revolution",34,76,29,13,17,8,37,24,83,-0.0488,0.0375,0.596,-0.0382,0.0225,0.859,-0.0075,0.0340,0.884,-0.0072,0.0284,-0.445,0.023749,0.256,10,
